wavelength,r,g,b
380,0.00003234813124,-0.00001362072185,0.001167729061
385,0.00004752640644,-0.00002017601904,0.001748679603
390,0.00009460255586,-0.00004094071712,0.003549816876
395,0.0001694647006,-0.00007435460418,0.006520382377
400,0.0003052459567,-0.0001387627394,0.01217590933
405,0.000474355983,-0.00022246909,0.01974929897
410,0.0008514042573,-0.0004127147628,0.03749160406
415,0.0013892977,-0.0006987729349,0.06653176726
420,0.002103942631,-0.001093636816,0.1150851232
425,0.002650371523,-0.001419097761,0.1857617399
430,0.002187852555,-0.001185414989,0.2471552751
435,0.0003351014503,-0.0002141518823,0.2909817903
440,-0.002631915162,0.001490834399,0.3126113425
445,-0.006699554199,0.003791409903,0.3177092972
450,-0.01215036611,0.006781502004,0.316448001
455,-0.01877604476,0.01046174007,0.3119689622
460,-0.02616488201,0.01485658609,0.2988810688
465,-0.03323185391,0.01976491484,0.2728296066
470,-0.03936452095,0.0253812921,0.2300602883
475,-0.04473638201,0.03183764086,0.1860120488
480,-0.04944658241,0.03915457643,0.1450859967
485,-0.05370016586,0.04713940775,0.1097718255
490,-0.05820280309,0.05690981514,0.08264417184
495,-0.06419340195,0.06949627235,0.06251022454
500,-0.07179752075,0.08537367717,0.04779668819
505,-0.08127929741,0.1059448868,0.03690691129
510,-0.08908784251,0.1286220614,0.02699742578
515,-0.09363747459,0.1526411618,0.01843083008
520,-0.09272571827,0.1746990653,0.0122249431
525,-0.08479803431,0.1911469789,0.008312782692
530,-0.07106569571,0.2031795357,0.005480885479
535,-0.05319858228,0.2108297058,0.003205519759
540,-0.03152952953,0.2146604875,0.001458061927
545,-0.006134929385,0.2148738958,0.0002218974783
550,0.02281563249,0.2117693946,-0.0005888902723
555,0.0551635073,0.2058290868,-0.001049849878
560,0.09065528177,0.1970118319,-0.001289490924
565,0.1284799626,0.1852011054,-0.00137565697
570,0.1678175614,0.1708374169,-0.001345946048
575,0.2073056082,0.1542615445,-0.001232620734
580,0.2453579249,0.1360806738,-0.001056140481
585,0.2800485883,0.1168244538,-0.0009086241079
590,0.3094205925,0.09750706002,-0.0007695990828
595,0.3319589593,0.07906810947,-0.0006144672213
600,0.3444953434,0.06241607661,-0.0004796379965
605,0.347706319,0.04773002015,-0.0003414724613
610,0.3396980206,0.03557620084,-0.0002942737827
615,0.3228075455,0.02579249128,-0.0002185553655
620,0.2971510298,0.01826690471,-0.0001482408239
625,0.2635769269,0.0125099808,-0.0001080820485
630,0.226964253,0.00828635588,-0.00007365910319
635,0.1923546926,0.005369137011,-0.00004642033008
640,0.1596439777,0.00334552926,-0.00003825086252
645,0.1290843669,0.001986076527,-0.00003075594424
650,0.101659596,0.001163414568,-0.000008041210089
655,0.07860020719,0.0006535311174,-0.000006197788308
660,0.05931918673,0.0003661955119,-0.000004666614884
665,0.04363476569,0.000205946876,-0.000003427899234
670,0.03149937326,0.0001090847292,-0.000002471327921
675,0.02293687986,0.00005731590729,0
680,0.01687355253,0.00002754426739,0
685,0.01187293399,0.00001025246868,0
690,0.008195567932,0.000003143761897,0
695,0.00571748369,0.0000005481320714,0
700,0.0041,0,0
705,0.00293,0,0
710,0.00209,0,0
715,0.00148,0,0
720,0.00105,0,0
725,0.00074,0,0
730,0.00052,0,0
735,0.00036,0,0
740,0.00025,0,0
745,0.00017,0,0
750,0.00012,0,0
755,0.00008,0,0
760,0.00006,0,0
765,0.00004,0,0
770,0.00003,0,0
775,0.00002,0,0
780,0.00001,0,0
