wavelength,A,D50,D65,E,F2
300,0.930483,0.019,0.0341,100,0
305,1.12821,1.035,1.6643,100,0
310,1.35769,2.051,3.2945,100,0
315,1.62219,4.914,11.7652,100,0
320,1.92508,7.778,20.236,100,0
325,2.2698,11.263,28.6447,100,0
330,2.65981,14.748,37.0535,100,0
335,3.09861,16.348,38.5011,100,0
340,3.58968,17.948,39.9488,100,0
345,4.13648,19.479,42.4302,100,0
350,4.74238,21.010,44.9117,100,0
355,5.4107,22.476,45.775,100,0
360,6.14462,23.942,46.6383,100,0
365,6.9472,25.451,49.3637,100,0
370,7.82135,26.961,52.0891,100,0
375,8.7698,25.724,51.0323,100,0
380,9.7951,24.488,49.9755,100,1.18
385,10.8996,27.179,52.3118,100,1.48
390,12.0853,29.871,54.6482,100,1.84
395,13.3543,39.589,68.7015,100,2.15
400,14.708,49.308,82.7549,100,3.44
405,16.148,52.910,87.1204,100,15.69
410,17.6753,56.513,91.486,100,3.85
415,19.2907,58.273,92.4589,100,3.74
420,20.995,60.034,93.4318,100,4.19
425,22.7883,58.926,90.057,100,4.62
430,24.6709,57.818,86.6823,100,5.06
435,26.6425,66.321,95.7736,100,34.98
440,28.7027,74.825,104.865,100,11.81
445,30.8508,81.036,110.936,100,6.27
450,33.0859,87.247,117.008,100,6.63
455,35.4068,88.930,117.41,100,6.93
460,37.8121,90.612,117.812,100,7.19
465,40.3002,90.990,116.336,100,7.4
470,42.8693,91.368,114.861,100,7.54
475,45.5174,93.238,115.392,100,7.62
480,48.2423,95.109,115.923,100,7.65
485,51.0418,93.536,112.367,100,7.62
490,53.9132,91.963,108.811,100,7.62
495,56.8539,93.843,109.082,100,7.45
500,59.8611,95.724,109.354,100,7.28
505,62.932,96.169,108.578,100,7.15
510,66.0635,96.613,107.802,100,7.05
515,69.2525,96.871,106.296,100,7.04
520,72.4959,97.129,104.79,100,7.16
525,75.7903,99.614,106.239,100,7.47
530,79.1326,102.099,107.689,100,8.04
535,82.5193,101.427,106.047,100,8.88
540,85.947,100.755,104.405,100,10.01
545,89.4124,101.536,104.225,100,24.88
550,92.912,102.317,104.046,100,16.64
555,96.4423,101.159,102.023,100,14.59
560,100,100.000,100,100,16.16
565,103.582,98.868,98.1671,100,17.56
570,107.184,97.735,96.3342,100,18.62
575,110.803,98.327,96.0611,100,21.47
580,114.436,98.918,95.788,100,22.79
585,118.08,96.208,92.2368,100,19.29
590,121.731,93.499,88.6856,100,18.66
595,125.386,95.593,89.3459,100,17.73
600,129.043,97.688,90.0062,100,16.54
605,132.697,98.478,89.8026,100,15.21
610,136.346,99.269,89.5991,100,13.8
615,139.988,99.155,88.6489,100,12.36
620,143.618,99.042,87.6987,100,10.95
625,147.235,97.382,85.4936,100,9.65
630,150.836,95.722,83.2886,100,8.4
635,154.418,97.290,83.4939,100,7.32
640,157.979,98.857,83.6992,100,6.31
645,161.516,97.262,81.863,100,5.43
650,165.028,95.667,80.0268,100,4.68
655,168.51,96.929,80.1207,100,4.02
660,171.963,98.190,80.2146,100,3.45
665,175.383,100.597,81.2462,100,2.96
670,178.769,103.003,82.2778,100,2.55
675,182.118,101.068,80.281,100,2.19
680,185.429,99.133,78.2842,100,1.89
685,188.701,93.257,74.0027,100,1.64
690,191.931,87.381,69.7213,100,1.53
695,195.118,89.492,70.6652,100,1.27
700,198.261,91.604,71.6091,100,1.1
705,201.359,92.246,72.979,100,0.99
710,204.409,92.889,74.349,100,0.88
715,207.411,84.872,67.9765,100,0.76
720,210.365,76.854,61.604,100,0.68
725,213.268,81.683,65.7448,100,0.61
730,216.12,86.511,69.8856,100,0.56
735,218.92,89.546,72.4863,100,0.54
740,221.667,92.580,75.087,100,0.51
745,224.361,85.405,69.3398,100,0.47
750,227,78.230,63.5927,100,0.47
755,229.585,67.961,55.0054,100,0.43
760,232.115,57.692,46.4182,100,0.46
765,234.589,70.307,56.6118,100,0.47
770,237.008,82.923,66.8054,100,0.4
775,239.37,80.599,65.0941,100,0.33
780,241.675,78.274,63.3828,100,0.27
785,243.924,0,63.8434,100,0
790,246.116,0,64.304,100,0
795,248.251,0,61.8779,100,0
800,250.329,0,59.4519,100,0
805,252.35,0,55.7054,100,0
810,254.314,0,51.959,100,0
815,256.221,0,54.6998,100,0
820,258.071,0,57.4406,100,0
825,259.865,0,58.8765,100,0
830,261.602,0,60.3125,100,0
