wavelength,l,m,s
360,0.000005620773,0.0000029073978,0.0006061
365,0.000009780055,0.000005296201,0.001086
370,0.00001707304,0.000009612706,0.001946
375,0.0000298251,0.000017389188,0.003486
380,0.0000523655213,0.0000310662464,0.006450001
385,0.000085180987,0.000051424336,0.01054999
390,0.000158241313,0.000097287064,0.02005001
395,0.000280991,0.0001789718,0.03621
400,0.000509655213,0.000328428864,0.06785001
405,0.000805363,0.000541594,0.1102
410,0.001467157,0.001056676,0.2074
415,0.002533121,0.001968758,0.3713
420,0.004315166,0.003808916,0.6456
425,0.00695232613,0.00749659864,1.0390501
430,0.00958151,0.01277906,1.3856
435,0.011892258,0.0197445,1.62296
440,0.014078094,0.02824704,1.74706
445,0.015880562,0.037993772,1.7826
450,0.017734083,0.049936344,1.77211
455,0.02000872,0.06449218,1.7441
460,0.02329872,0.08162904,1.6692
465,0.0285093,0.10065432,1.5281
470,0.037479744,0.1225185,1.28764
475,0.05096024,0.14894042,1.0419
480,0.06907651513,0.1802590806,0.8129501
485,0.0907358789,0.2156243877,0.6162
490,0.119190411,0.260399322,0.46518
495,0.15609928,0.3190423,0.3533
500,0.20305013,0.39373298,0.272
505,0.26485697,0.49129802,0.2123
510,0.33774087,0.60045354,0.1582
515,0.42159928,0.71823958,0.1117
520,0.5076880448,0.8293053535,0.07824999
525,0.5847203442,0.9161432005,0.05725001
530,0.655095358,0.984015124,0.04216
535,0.7159580469,1.032140857,0.02984
540,0.76887727,1.0631716,0.0203
545,0.81454721,1.07804972,0.0134
550,0.85374742,1.078223161,0.008749999
555,0.888093399,1.065997687,0.005749999
560,0.91692472,1.04104786,0.0039
565,0.9384114551,1.00230652,0.002749999
570,0.9527531,0.95156366,0.0021
575,0.95889119,0.88976138,0.0018
580,0.9563822549,0.81906882,0.001650001
585,0.94368094,0.7411921,0.0014
590,0.92143554,0.6600411,0.0011
595,0.89050339,0.5795614,0.001
600,0.84863538,0.50266896,0.0008
605,0.7979483,0.43050008,0.0006
610,0.737253462,0.364868496,0.00034
615,0.669662392,0.306482896,0.00024
620,0.595473173,0.254531629,0.00019
625,0.51398171,0.20720432,0.0001
630,0.432924345,0.1659798,0.00004999999
635,0.360689069,0.132270572,0.00003
640,0.295120056,0.104168508,0.00002
645,0.235822773,0.080634504,0.00001
650,0.18420295,0.0614755,0
655,0.14144979,0.04630818,0
660,0.10629053,0.03429338,0
665,0.07794726,0.024904212,0
670,0.05610778,0.01778428,0
675,0.04076972,0.0128396,0
680,0.029939269,0.009370054,0
685,0.02103401,0.006545708,0
690,0.01450288,0.004499254,0
695,0.010115995,0.0031325662,0
700,0.007252942652,0.002243971832,0
705,0.005178904965,0.001602290103,0
710,0.003697196836,0.001143867889,0
715,0.002623931393,0.0008118123814,0
720,0.001851250732,0.0005727544554,0
725,0.001308429343,0.000404812138,0
730,0.0009194366987,0.0002844626642,0
735,0.0006384781422,0.0001975373909,0
740,0.0004406224304,0.0001363232177,0
745,0.0003039446006,0.00009403676526,0
750,0.0002121777387,0.00006564520722,0
755,0.0001499389312,0.00004638928222,0
760,0.0001060888499,0.0000328226151,0
765,0.0000749694461,0.0000231946526,0
770,0.00005304443272,0.00001641130295,0
775,0.00003748473084,0.0000115973217,0
780,0.00002650453362,0.000008200181788,0
785,0.00001874236542,0.000005798660852,0
790,0.00001320045885,0.000004084063246,0
795,0.000009296566569,0.000002876245374,0
800,0.000006547274106,0.000002025647256,0
805,0.000004610975603,0.000001426579931,0
810,0.00000324738016,0.000001004699974,0
815,0.000002286922384,0.0000007075459304,0
820,0.000001610658763,0.000000498318317,0
825,0.000001134319727,0.0000003509448338,0
830,0.0000007988667377,0.0000002471597522,0
