Wavelength,P43,P5,P97,P16,P40,P60,P71,P7,P36,P28,P38,P69,P95,P32,P83,P24,P63,P77,P62,P15,P11,P91,P1,P41
380.000000,0.049428,0.053168,0.058659,0.070804,0.069676,0.061514,0.061868,0.079212,0.115368,0.154072,0.098621,0.100082,0.075981,0.186839,0.105903,0.215302,0.129584,0.220495,0.230096,0.233153,0.203997,0.240126,0.234483,0.288950
390.000000,0.051758,0.056239,0.061802,0.074708,0.077294,0.066643,0.067886,0.085890,0.127012,0.161221,0.109662,0.109498,0.085254,0.196355,0.117348,0.226916,0.143254,0.223781,0.238414,0.242821,0.215489,0.240143,0.243925,0.292704
400.000000,0.054100,0.059600,0.065400,0.078300,0.084500,0.072200,0.074000,0.092400,0.135400,0.161300,0.118400,0.115800,0.094100,0.197500,0.125100,0.228900,0.151600,0.219000,0.236800,0.243100,0.217200,0.231400,0.242200,0.283700
410.000000,0.056550,0.062981,0.069062,0.081718,0.090294,0.077231,0.079491,0.098290,0.140605,0.157872,0.122946,0.119421,0.101931,0.194327,0.129196,0.224797,0.155090,0.210328,0.230887,0.238554,0.213158,0.219866,0.234060,0.270039
420.000000,0.058958,0.066646,0.073242,0.085406,0.095753,0.082544,0.085397,0.104292,0.145916,0.155822,0.127879,0.122586,0.109491,0.192413,0.134170,0.222973,0.159379,0.205302,0.228026,0.238182,0.209557,0.212598,0.229728,0.263211
430.000000,0.061900,0.070900,0.078100,0.089800,0.101700,0.088700,0.092500,0.111200,0.153800,0.158500,0.135000,0.127400,0.118700,0.196700,0.142400,0.228400,0.167800,0.207300,0.233100,0.245700,0.212500,0.212300,0.233100,0.267700
440.000000,0.066248,0.077381,0.085361,0.096063,0.113148,0.098948,0.104148,0.123228,0.172175,0.174696,0.150860,0.141028,0.134841,0.217867,0.162066,0.251770,0.191757,0.229596,0.260293,0.276591,0.236422,0.231283,0.260475,0.302453
450.000000,0.072765,0.085885,0.094555,0.106409,0.132461,0.114452,0.117972,0.141465,0.196901,0.217561,0.181895,0.173010,0.153418,0.261612,0.193945,0.287378,0.232223,0.281438,0.304859,0.321185,0.292736,0.285525,0.316118,0.354519
460.000000,0.078800,0.093100,0.102400,0.115100,0.147700,0.127300,0.129100,0.156400,0.215100,0.255300,0.207700,0.201300,0.167200,0.293700,0.218200,0.309200,0.260100,0.319800,0.335200,0.351000,0.335200,0.329600,0.351900,0.384500
470.000000,0.084052,0.099269,0.108910,0.122159,0.158715,0.137049,0.138431,0.167645,0.229100,0.275723,0.224085,0.218800,0.177857,0.310497,0.232250,0.323563,0.278063,0.338494,0.354624,0.369225,0.355821,0.352778,0.368797,0.401344
480.000000,0.088598,0.104602,0.114443,0.127499,0.166278,0.143968,0.145944,0.175887,0.237926,0.284517,0.232831,0.228975,0.185693,0.318089,0.239756,0.331551,0.289026,0.345777,0.364205,0.379108,0.362349,0.360928,0.374149,0.408809
490.000000,0.093300,0.110800,0.120800,0.134500,0.174800,0.152200,0.154300,0.185400,0.248300,0.291800,0.245300,0.237800,0.195300,0.325900,0.248200,0.342900,0.301200,0.355900,0.374800,0.392200,0.371300,0.369500,0.384500,0.419600
500.000000,0.098399,0.117429,0.127913,0.141618,0.184022,0.161398,0.163334,0.195978,0.262487,0.296826,0.255968,0.245632,0.206286,0.333312,0.261219,0.357546,0.313790,0.365160,0.388614,0.406849,0.379770,0.380344,0.395734,0.431987
510.000000,0.103088,0.123750,0.134783,0.148092,0.192065,0.169752,0.172624,0.205078,0.276215,0.296537,0.263289,0.250619,0.215780,0.336179,0.269619,0.370429,0.321497,0.368697,0.398236,0.415885,0.382554,0.384621,0.400457,0.441534
520.000000,0.106500,0.129500,0.141000,0.154300,0.197300,0.176800,0.179900,0.212000,0.285400,0.289700,0.266900,0.250700,0.224300,0.332800,0.273900,0.376500,0.323400,0.366600,0.396400,0.415700,0.379100,0.380200,0.400100,0.441800
530.000000,0.107852,0.134783,0.147184,0.159549,0.198178,0.181148,0.183992,0.214348,0.287165,0.274881,0.262344,0.243112,0.231623,0.319860,0.274553,0.370941,0.318339,0.356734,0.380128,0.404708,0.366823,0.364226,0.393866,0.427567
