wavelength,l,m,s
380,0.000123071486,0.000076920514,0.0001971408
385,0.0002427725972,0.0001527715804,0.00038948976
390,0.00048870534,0.00031126266,0.00079194
395,0.000939035364,0.000606602808,0.0015297708
400,0.00169251094,0.00110737706,0.0027993672
405,0.002793380524,0.001862633228,0.0046652904
410,0.00439091894,0.00300878506,0.0074053224
415,0.00690441648,0.00487411236,0.0117650928
420,0.0100839392,0.0074153608,0.017138064
425,0.01272587056,0.00995122232,0.021138768
430,0.014855767,0.012443141,0.023592576
435,0.01709926688,0.01548342976,0.025399968
440,0.0191802424,0.0187182416,0.025994928
445,0.02062828872,0.02176101564,0.025216656
450,0.0218654888,0.0249326392,0.023664936
455,0.02344716724,0.02867274788,0.02209392
460,0.0262523244,0.0337452756,0.020770536
465,0.03159229164,0.04134679068,0.019868448
470,0.039925856,0.0510505048,0.017909904
475,0.0509384206,0.0618970658,0.015150576
480,0.06492788896,0.07408655024,0.0121558368
485,0.0818313433,0.0880318619,0.009429312
490,0.1032243363,0.1047873429,0.0071827752
495,0.1312249528,0.126844724,0.0054858528
500,0.1674928512,0.1554942288,0.0042510696
505,0.2137738171,0.1916099669,0.0033115152
510,0.2695553681,0.2334245119,0.002483556
515,0.3312312373,0.2768544383,0.0017556144
520,0.3929951526,0.3169764474,0.0012314868
525,0.4471781562,0.3478900398,0.00090413016
530,0.492706122,0.369259398,0.00066516528
535,0.5313396916,0.3836737064,0.00047199624
540,0.5628858265,0.3910760135,0.00032227536
545,0.5880413575,0.3919594409,0.00021405696
550,0.6077839966,0.3871262054,0.000141219384
555,0.6228991093,0.3771608867,0.000094185384
560,0.6329643872,0.3619958128,0.000065112744
565,0.6371656123,0.3415452377,0.000046980936
570,0.6355411595,0.3164207605,0.000036615768
575,0.6281339073,0.2874094695,0.000031687248
580,0.6146175741,0.2553476259,0.000029050128
585,0.5948365064,0.2213608444,0.000024841992
590,0.5698094845,0.1871602355,0.000019855584
595,0.540438024,0.1543641828,0.000017972616
600,0.5063516607,0.1246230993,0.0000145626912
605,0.4684324459,0.09808489246,0.0000111702936
610,0.4271346526,0.07584522741,0.000006895908
615,0.3839610667,0.05774126447,0.0000051161736
620,0.3377746929,0.0432100671,0.0000041161584
625,0.2888528965,0.03165428272,0.0000025211832
630,0.2421101444,0.02287925562,0.00000157091952
635,0.2006343783,0.0163769409,0.00000110861952
640,0.1634021055,0.01159089448,0.0000008227332
645,0.1300163351,0.008098140086,0.00000057913728
650,0.1013381503,0.005657569661,0.00000038974704
655,0.07767810741,0.003970626507,0.0000002719932
660,0.05820210417,0.002795455831,0.00000019144848
665,0.04241216047,0.001913066453,0.000000131034312
670,0.03068337638,0.001315343616,0.000000090057648
675,0.02252397232,0.0009290895216,0.000000063586752
680,0.01634363504,0.0006556849588,0.000000044882496
685,0.01142118061,0.0004503445123,0.000000030835008
690,0.007901063218,0.0003086083816,0.00000002112108
695,0.005557067183,0.0002150019251,0.0000000147162552
700,0.003949600678,0.0001522352424,0.0000000104145336
705,0.002820058323,0.0001089245133,0.0000000074534016
710,0.00201267491,0.00007824144969,0.0000000053552832
715,0.001426169682,0.00005597103024,0.0000000038307384
720,0.001006958087,0.00004000003274,0.0000000027377808
725,0.0007114440148,0.00002867637922,0.0000000019628856
730,0.0004995224537,0.00002045674634,0.00000000140068056
735,0.0003464810542,0.00001443450861,0.0000000009881964
740,0.0002390505215,0.0000101395105,0.00000000069404496
745,0.0001651671563,0.000007135951254,0.00000000048849432
750,0.0001149317439,0.000005063456064,0.00000000034658832
755,0.0000809780575,0.0000036385577,0.00000000024912744
760,0.00005736734404,0.000002630255963,0.00000000018016032
765,0.00004054504077,0.000001899261389,0.000000000130043784
770,0.00002862905511,0.000001369744885,0
775,0.00002022077401,0.0000009883775935,0
780,0.00001427511658,0.0000007132838585,0
785,0.00001006926937,0.0000005143072664,0
790,0.000007094943405,0.0000003703579705,0
795,0.000004992617214,0.0000002663724175,0
800,0.000003511241734,0.0000001914101543,0
805,0.000002469900299,0.0000001375953965,0
810,0.000001737536917,0.00000009888962255,0
815,0.000001223825137,0.00000007112306282,0
820,0.0000008598381984,0.00000005104536484,0
825,0.0000005992964894,0.00000003631808501,0
